Met_station,Met_station_name,Met_Lat,Met_long,Met_elevation,Date (Local),Average daily wind speed,Precipitation,Snowfall,Snow depth,Temperature Average,Maximum temperature,Minimum temperature,Direction of fastest 2-minute wind,Direction of fastest 5-second wind,Fastest 2-minute wind speed,Fastest 5-second wind speed
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-02,6.04,0.0,0.0,0.0,,2,-12,340,360.0,17.9,23.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-03,12.3,0.0,0.0,0.0,,31,-6,330,330.0,23.9,31.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-04,11.41,0.0,0.0,0.0,,46,23,350,330.0,23.0,31.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-05,8.5,0.08,0.5,0.0,,45,22,360,10.0,19.9,23.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-06,13.65,0.0,0.0,1.0,,28,13,350,340.0,29.1,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-07,7.16,0.0,0.0,0.0,,35,8,340,350.0,38.0,49.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-08,17.67,0.03,2.0,0.0,,20,0,340,330.0,46.1,59.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-09,6.71,0.0,0.0,2.0,,14,-3,340,350.0,23.0,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-10,5.14,0.0,0.0,2.0,,26,2,10,10.0,12.1,14.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-11,7.16,0.0,0.0,0.0,,41,9,150,,14.1,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-12,5.59,0.0,0.0,0.0,,57,17,20,220.0,14.1,16.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-13,9.84,0.0,0.0,0.0,,71,29,310,310.0,36.0,45.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-14,9.84,0.0,0.0,0.0,,52,31,120,170.0,21.9,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-15,13.87,0.0,0.0,0.0,,65,32,150,310.0,25.9,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-16,15.21,0.0,0.0,0.0,,66,35,230,230.0,30.0,38.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-17,16.33,0.0,0.0,0.0,,57,27,240,230.0,36.0,46.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-18,6.93,0.0,0.0,0.0,,45,21,130,130.0,21.0,25.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-19,12.75,0.03,0.0,0.0,,59,30,150,250.0,29.1,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-20,15.66,0.0,0.0,0.0,,46,28,250,300.0,33.1,53.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-21,11.18,0.0,0.0,0.0,,47,15,300,290.0,34.9,44.1
