STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT18,WT19,WT22
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-26,7.83,1103,1102,0.00,0.0,0.0,,44,19,360,360,21.0,25.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-27,5.82,301,300,0.00,0.0,0.0,,55,25,360,360,15.0,16.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-28,6.93,1535,1520,0.00,0.0,0.0,,66,26,130,130,15.0,21.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-29,11.41,1542,1542,0.00,0.0,0.0,,63,28,50,40,25.1,30.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-30,3.80,128,48,0.00,0.0,0.0,,41,20,150,140,15.0,21.0,1,1,,,,,,,,,,1,,,,,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-01-31,12.53,1938,1946,0.02,0.2,0.0,,29,1,360,360,30.0,34.9,1,1,,,,,,1,,,,,,,,1,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-01,21.03,1001,1141,0.00,0.0,0.0,,1,-10,330,330,36.0,46.1,,,,,,,,1,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-02,6.04,2357,2356,0.00,0.0,0.0,,2,-12,340,360,17.9,23.0,1,,,,,,,1,,,,1,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-03,12.30,1125,543,0.00,0.0,0.0,,31,-6,330,330,23.9,31.1,,,,,,,,1,,,,,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-04,11.41,1940,1940,0.00,0.0,0.0,,46,23,350,330,23.0,31.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-05,8.50,2248,2247,0.08,0.5,0.0,,45,22,360,10,19.9,23.9,1,1,,,,,,1,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-06,13.65,1233,1233,0.00,0.0,1.0,,28,13,350,340,29.1,36.9,1,,,,,,,1,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-07,7.16,2352,2355,0.00,0.0,0.0,,35,8,340,350,38.0,49.0,1,,,,,,,,,,,1,,,,1,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-08,17.67,14,38,0.03,2.0,0.0,,20,0,340,330,46.1,59.9,,,,,,,,1,1,,,,,,,1,1,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-09,6.71,9,9,0.00,0.0,2.0,,14,-3,340,350,23.0,28.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-10,5.14,37,34,0.00,0.0,2.0,,26,2,10,10,12.1,14.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-11,7.16,1644,,0.00,0.0,0.0,,41,9,150,,14.1,,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-12,5.59,2320,1540,0.00,0.0,0.0,,57,17,20,220,14.1,16.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-13,9.84,1436,1435,0.00,0.0,0.0,,71,29,310,310,36.0,45.0,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-14,9.84,1056,529,0.00,0.0,0.0,,52,31,120,170,21.9,29.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-15,13.87,1523,449,0.00,0.0,0.0,,65,32,150,310,25.9,36.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-16,15.21,1949,2111,0.00,0.0,0.0,,66,35,230,230,30.0,38.9,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-17,16.33,1109,1106,0.00,0.0,0.0,,57,27,240,230,36.0,46.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-18,6.93,1312,1301,0.00,0.0,0.0,,45,21,130,130,21.0,25.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-19,12.75,1131,1908,0.03,0.0,0.0,,59,30,150,250,29.1,36.9,,,1,,,,,,,,,,,,1,,,
